id,first_name,last_name,date_of_birth,email,country_of_birth,car_id,id,make,model,price
1,Kaleb,Kinnear,2025-10-30,kkinnear0@spiegel.de,,2,2,CYBERTRUCK,Tesla,299999.95
2,Stearne,Bawdon,2026-02-21,sbawdon1@ehow.com,,,,,,
10,May,Wrotham,2025-07-06,mwrotham9@fda.gov,China,,,,,
9,Keith,Ludovico,2025-07-06,kludovico8@mediafire.com,China,,,,,
8,Jacklin,Van Ross,2025-05-08,jvanross7@unesco.org,Brazil,,,,,
7,Anselm,Stranio,2025-05-15,,Uganda,,,,,
6,Hollyanne,Inchan,2025-10-20,hinchan5@answers.com,,,,,,
5,Ashlie,Dobney,2025-04-26,,Russia,,,,,
4,Marcie,Grunguer,2025-12-19,,Indonesia,,,,,
3,Waylon,Geockle,2025-10-07,,Brazil,,,,,
